source	target
P07477	chymotrypsin C
P07477	penicillopepsin
P07477	chymotrypsin C
P07477	HIV-1 retropepsin
P07477	chymotrypsin C
P07477	trypsin 1
P07477	trypsin 1
P07477	cathepsin S
P07477	matrix metallopeptidase-2
P07477	trypsin 1
P07477	cationic trypsin (Homo sapiens-type)
P07477	mesotrypsin
P07477	cathepsin L
P07477	cathepsin S
P07477	cathepsin L
