source	target
P01584	HIV-1 retropepsin
P01584	HIV-2 retropepsin
P01584	caspase-1
P01584	caspase-4
P01584	trypsin 1
P01584	HIV-1 retropepsin
P01584	elastase-1
P01584	meprin beta subunit
P01584	elastase-2
P01584	cathepsin G
P01584	chymase (Homo sapiens-type)
P01584	streptopain
P01584	meprin alpha subunit
P01584	caspase-1
P01584	caspase-4
P01584	dipeptidyl-peptidase 4 (bacteria-type 2)
P01584	granzyme A
P01584	matrix metallopeptidase-2
